FECHA DE REPORTE;ID;ORDEN DE DROPSHIPPER;HORA;FECHA;NOMBRE CLIENTE;TELÉFONO;EMAIL;TIPO DE IDENTIFICACION;NRO DE IDENTIFICACION;NÚMERO GUIA;ESTATUS;TIPO DE ENVIO;DEPARTAMENTO DESTINO;CIUDAD DESTINO;DIRECCION;NOTAS;TRANSPORTADORA;NUMERO DE FACTURA;VALOR FACTURADO;TOTAL DE LA ORDEN;GANANCIA;PRECIO FLETE;COSTO DEVOLUCION FLETE;COMISION;NOVEDAD;FUE SOLUCIONADA LA NOVEDAD;HORA DE NOVEDAD;FECHA DE NOVEDAD;SOLUCIÓN;HORA DE SOLUCIÓN;FECHA DE SOLUCIÓN;OBSERVACIÓN;HORA DE ÚLTIMO MOVIMIENTO;FECHA DE ÚLTIMO MOVIMIENTO;ÚLTIMO MOVIMIENTO;CONCEPTO ÚLTIMO MOVIMIENTO;UBICACIÓN DE ÚLTIMO MOVIMIENTO;VENDEDOR;TIPO DE TIENDA;TIENDA;ID DE ORDEN DE TIENDA;NUMERO DE PEDIDO DE TIENDA;TAGS;FECHA GENERACION DE GUIA;USUARIO GENERACION DE GUIA;CODIGO POSTAL;CONTADOR DE INDEMNIZACIONES;CONCEPTO ÚLTIMA INDENMIZACIÓN;CATEGORÍAS
05-05-2026;73732374;SI;11:21;29-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056807310;EN REPARTO;CON RECAUDO;NORTE DE SANTANDER;CUCUTA;Información solo visible para el Dropshipper;"CAMISETA TALLA M
BEENUDA TALLA L";ENVIA;;;139900;0;20805,5;0;0;;NO;;;;;;;18:36;30-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;30/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73653285;SI;16:05;28-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056793863;EN REPARTO;SIN RECAUDO;ANTIOQUIA;APARTADO;Información solo visible para el Dropshipper;Pedido de muestra para tienda;ENVIA;;;150000;0;12912;0;0;;NO;;;;;;;13:32;30-04-2026;GENERADA EN MEDELLIN;1;GENERADA EN MEDELLIN;;;;;;;29/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73646281;SI;15:00;28-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056791806;ENTREGADO;CON RECAUDO;VALLE;CALI;Información solo visible para el Dropshipper;TALLA M CAMISETA PANTALONETA S;ENVIA;;;139900;65000;20805,5;0;0;;NO;;;;;;;13:33;30-04-2026;GENERADA EN MEDELLIN;1;GENERADA EN MEDELLIN;;;;;;;29/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73548347;SI;17:35;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051264552;ENTREGADO;CON RECAUDO;ANTIOQUIA;EL BAGRE;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;250000;130000;23320;0;0;;NO;;;;;;;01:12;29-04-2026;CENTRO ACOPIO;CENTRO ACOPIO;;;;;;;;28/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73531885;SI;15:23;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051230866;ENTREGADO;CON RECAUDO;VALLE;TORO;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;519700;235000;43436,5;0;0;;NO;;;;;;;18:06;28-04-2026;ADMITIDA;ADMITIDA;;;;;;;;27/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73605991;SI;09:31;28-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056780635;EN REEXPEDICION;CON RECAUDO;SANTANDER;SABANA DE TORRES;Información solo visible para el Dropshipper;;ENVIA;;;139900;0;20805,5;0;0;;NO;;;;;;;13:32;29-04-2026;GENERADA EN MEDELLIN;1;GENERADA EN MEDELLIN;;;;;;;28/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73574626;SI;22:35;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;V4002531053;EN BODEGA ORIGEN;CON RECAUDO;ANTIOQUIA;BELLO;Información solo visible para el Dropshipper;despachar rapido;VELOCES;;;125900;0;13356,5;0;0;;NO;;;;;;;08:24;04-05-2026;1;1;;;;;;;;28/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73474907;SI;09:07;27-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056771240;ENTREGADO;CON RECAUDO;CUNDINAMARCA;BOGOTA;Información solo visible para el Dropshipper;;ENVIA;;;139900;65000;20805,5;0;0;;NO;;;;;;;18:15;27-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;27/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73288665;SI;08:17;25-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;240051082998;ENTREGADO;CON RECAUDO;CESAR;BECERRIL;Información solo visible para el Dropshipper;;INTERRAPIDISIMO;;;250000;130000;28220;0;0;;NO;;;;;;;18:10;27-04-2026;ADMITIDA;ADMITIDA;;;;;;;;25/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
05-05-2026;73215065;SI;11:59;24-04-2026;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;Información solo visible para el Dropshipper;;;034056762778;ENTREGADO;CON RECAUDO;CUNDINAMARCA;BOGOTA;Información solo visible para el Dropshipper;;ENVIA;;;250000;130000;25760;0;0;;NO;;;;;;;18:15;27-04-2026;EN BODEGA ORIGEN;EN BODEGA ORIGEN;ESTADO;;;;;;;27/04/2026;Admin (Zona Vip Urban);;0;;Ropa Deportiva, Moda, Deportes
